TripLogId,DumperMachineNumber,MachineType,LoadLongitude,LoadLatitude,DumpLongitude,DumpLatitude,MassTypeMaterial,Quantity
6225a07a03d57f0000de776a,20,Truck,10.3860295631773,59.94648840546584,10.32445173604701,59.976590294100525,Stone,16.0
6225a10729ca530000b90baf,13,Truck,10.420865155766178,59.939565835576445,10.420907652015256,59.93959198711434,Stone,30.0
6225a162742acd0000660a11,25,Truck,10.386013607370858,59.94649784577385,10.320636897686477,59.97680825119839,Stone,27.0
6225a20c8f9bfd0000e79b23,11,Truck,10.37728892919928,59.95135526148138,10.3778185884677,59.95102325911633,Stone,27.0
6225a2204b03d10000b7b2ce,46,Truck,10.374658295981677,59.95219649513648,10.32079015175186,59.97734113081346,Stone,25.5
6225a24a48b8de0000c6480b,37,Dumper,10.420804015582256,59.93960932240275,10.422354371467188,59.93845601403555,Stone,40.0
6225a278f9c9f2000035294e,52,Truck,10.385948257550934,59.94648876619743,10.32047145701748,59.97711393396021,Stone,28.0
6225a36ecc022c00004c32ad,15,Truck,10.38597499275426,59.94649544481821,10.32359148998542,59.97621376636426,Stone,28.0
6225a3abc6faa30000380a80,19,Dumper,10.420896855750824,59.9395897408239,10.42228036316494,59.93849635628256,Stone,22.0
6225a46b642bfb0000d03233,37,Dumper,10.420865836807264,59.93959073810723,10.422368001894007,59.93846610005321,Stone,40.0
6225a510ff29ad0000421ca7,22,Truck,10.377699828004202,59.95129433291743,10.320917148392695,59.97654058383025,Stone,28.0
6225a55b8a13af00008f5b06,26,Truck,10.382214722352357,59.94757024603786,10.328370238045451,59.97556012547125,Equipment,30.0
6225a56803c40d0000331fd2,5,Truck,10.421332243605107,59.93942354308892,10.320918341561551,59.97722080636542,Stone,28.0
6225a592657c6f0000734e8c,44,Truck,10.530121015139365,59.94122730271523,10.37591177350129,59.950341089980085,Stone,27.0
6225a6039410fb0001a255be,16,Truck,10.377839732537232,59.95099640315704,10.321003031185787,59.97721542506964,Stone,16.0
6225a626da86020000a39f43,20,Truck,10.386122472055275,59.94647050624484,10.32437447073822,59.97664812262506,Stone,16.0
6225a66990443f0000f13d6b,19,Dumper,10.420779960807478,59.93955986756544,10.422386404676573,59.9384697915988,Stone,22.0
6225a70efa71ef0000e2fc16,11,Truck,10.377798660299332,59.95106658554987,10.320346030149738,59.97755873582868,Stone,27.0
6225a73abfdde400008e3c59,25,Truck,10.385321517809183,59.94649298488391,10.320977156008226,59.97722315339389,Stone,27.0
6225a7932e680c00009e6b21,37,Dumper,10.420821473772222,59.939599723739086,10.422453778209276,59.93845563452537,Stone,40.0
6225a7bd50f07a0000627bba,30,Truck,10.37784439664654,59.95103604730394,10.32357594515148,59.97614816778371,Stone,29.0
6225a8031c8aa4000006f099,36,Dumper,10.374573717984395,59.95217439077178,10.383678217982986,59.94714036461967,Stone,30.0
6225a8b3166fd80000541064,23,Truck,10.3778488723995,59.95100772006923,10.320841450373292,59.97662087643158,Stone,28.0
6225a8c0359b2100004e87af,19,Dumper,10.42086083637993,59.93959527935828,10.422421583180762,59.93845544707576,Stone,22.0
6225a8f6eec89b0000a29c7c,46,Truck,10.37461450123453,59.952242564610565,10.320687805597691,59.978504243752894,Stone,25.5
6225a941f0475c000015074d,52,Truck,10.38602051105384,59.94649176939051,10.320770464095135,59.9774177386424,Stone,28.0
6225a9bc9bfd1400007a6377,13,Truck,10.420907652015256,59.93959198711434,10.321013749844807,59.976425783916966,Stone,30.0
6225aa0b0184fd00002c66d6,36,Dumper,10.383773485434578,59.94717723887243,10.37631987417154,59.952983403192896,Equipment,30.0
